DIRECT ONOFF TGL - R,RC5,16,-1,10
MUTE ON,RC5,16,-1,13
TREBLE CON. MENU - R,RC5,16,-1,14
FOLLOW ZONE 1 - R,RC5,16,-1,20
ROOM EQ ON/OFF - R,RC5,16,-1,30
BASS CON. MENU - R,RC5,16,-1,39
LIPSYNC CONT MEN - R,RC5,16,-1,50
SUB CONTROL MENU - R,RC5,16,-1,51
DOLBY VOL. ON/OF - R,RC5,16,-1,70
DISCRETE DIR ON - R,RC5,16,-1,78
DISCRETE DIR OFF - R,RC5,16,-1,79
ZONE TOGGLE - R,RC5,16,-1,95
MUTE OFF,RC5,16,-1,120
POWER ON,RC5,16,-1,123
POWER OFF,RC5,16,-1,124
ZONE 2 VOL. UP - R,RC5,23,-1,1
ZONE 2 VOL. DOWN - R,RC5,23,-1,2
ZONE 2 MUTE TOG. - R,RC5,23,-1,3
ZONE 2 MUTE ON - R,RC5,23,-1,4
ZONE 2 MUTE OFF - R,RC5,23,-1,5
ZONE 2 CD- R,RC5,23,-1,6
ZONE 2 DVD - R,RC5,23,-1,7
ZONE 2 SAT,RC5,23,-1,8
ZONE 2 AV - R,RC5,23,-1,9
ZONE 2 TAPE - R,RC5,23,-1,10
ZONE 2 VCR - R,RC5,23,-1,11
ZONE 2 DVR - R,RC5,23,-1,12
ZONE 2 AUX - R,RC5,23,-1,13
ZONE 2 FM - R,RC5,23,-1,14
ZONE 2 AM - R,RC5,23,-1,15
ZONE 2 SIRIUS - R,RC5,23,-1,16
ZONE 2 NET - R,RC5,23,-1,19
ZONE 3 VOL. UP - R,RC5,23,-1,20
ZONE 3 VOL. DOWN - R,RC5,23,-1,21
ZONE 3 MUTE - R,RC5,23,-1,22
ZONE 3 MUTE ON - R,RC5,23,-1,23
ZONE 3 MUTE OFF - R,RC5,23,-1,24
ZONE 3 POWER ON - R,RC5,23,-1,121
ZONE 3 POWER OFF - R,RC5,23,-1,122
ZONE 2 PWR ON - R,RC5,23,-1,123
ZONE 2 PWR OFF - R,RC5,23,-1,124
