PRESET UP,Sony15,121,-1,16
PRE UP,Sony15,121,-1,16
PRESET DN,Sony15,121,-1,17
PRE DN,Sony15,121,-1,17
VOL UP,Sony15,121,-1,18
VOL DN,Sony15,121,-1,19
MUTE,Sony15,121,-1,20
VID2,Sony15,121,-1,30
VID 2,Sony15,121,-1,30
TUNER,Sony15,121,-1,33
VID1,Sony15,121,-1,34
VID 1,Sony15,121,-1,34
TAPE 1,Sony15,121,-1,35
MD TAPE,Sony15,121,-1,35
CD,Sony15,121,-1,37
CD/SACD,Sony15,121,-1,37
PWR ON,Sony15,121,-1,46
PWR OFF,Sony15,121,-1,47
VID3,Sony15,121,-1,66
VID4,Sony15,121,-1,67
MD,Sony15,121,-1,105
TV/ SAT/ CABLE,Sony15,121,-1,106
TV SAT,Sony15,121,-1,106
LD,Sony15,121,-1,107
DVD,Sony15,121,-1,125
NITE MODE,Sony15,144,-1,32
1,Sony12,16,-1,0
2,Sony12,16,-1,1
3,Sony12,16,-1,2
4,Sony12,16,-1,3
5,Sony12,16,-1,4
6,Sony12,16,-1,5
7,Sony12,16,-1,6
8,Sony12,16,-1,7
9,Sony12,16,-1,8
0,Sony12,16,-1,9
ENTER,Sony12,16,-1,12
CH UP,Sony12,16,-1,16
CH DN,Sony12,16,-1,17
VOL UP,Sony12,16,-1,18
VOL DN,Sony12,16,-1,19
MUTE,Sony12,16,-1,20
VID 2,Sony12,16,-1,30
TUNER,Sony12,16,-1,33
VID 1,Sony12,16,-1,34
TAPE 1,Sony12,16,-1,35
CD,Sony12,16,-1,37
PWR ON,Sony12,16,-1,46
PWR OFF,Sony12,16,-1,47
VID5,Sony12,16,-1,65
VID3,Sony12,16,-1,66
VID4,Sony12,16,-1,67
DISPLAY,Sony12,16,-1,75
ON SCREEN,Sony12,16,-1,83
TV/SAT,Sony12,16,-1,106
DVD,Sony12,16,-1,125
VOLUME UP,Sony20,25,107,18
VOLUME DOWN,Sony20,25,107,19
VID 2,Sony20,25,107,30
TUNER,Sony20,25,107,33
VID 1,Sony20,25,107,34
TAPE,Sony20,25,107,35
CD,Sony20,25,107,37
ON,Sony20,25,107,46
OFF,Sony20,25,107,47
VID 3,Sony20,25,107,66
MD,Sony20,25,107,105
TV SAT,Sony20,25,107,106
DVD,Sony20,25,107,125
TUNER,Sony20,25,11,33
CD,Sony20,25,11,37
VID 3,Sony20,25,11,66
TV SAT,Sony20,25,11,106
VOLUME +,Sony15,48,-1,18
VOLUME -,Sony15,48,-1,19
PRESET UP,Sony12,7,-1,16
PRESET DOWN,Sony12,7,-1,17
