POWER TOGGLE,RC5,16,-1,74
SUB ON/OFF TOGGLE,RC5,16,-1,83
TUNER STEREO/MONO,RC5,16,-1,87
OSD ON/OFF,RC5,16,-1,93
POWER ON,RC5,16,-1,100
POWER OFF,RC5,16,-1,101
MUTE ON,RC5,16,-1,102
MUTE OFF,RC5,16,-1,103
STEREO ON,RC5,16,-1,104
STEREO OFF,RC5,16,-1,105
SUB ON,RC5,16,-1,106
SUB OFF,RC5,16,-1,107
ALL OFF,RC5,19,-1,11
POWER TOGGLE,RC5,19,-1,12
TEST TONE,NECx1,192,192,7
POWER,NECx1,192,192,12
STEREO/MONO,NEC2,192,192,14
OSD ON/OFF,NECx1,192,192,17
SUB ON/OFF,NEC2,192,192,18
Stereo/Mono (Tuner),NEC,192,63,25
PHONO,NEC,192,63,93
