CD SOURCE POWER ON,NEC2,128,112,86
CD ON,NEC2,128,112,86
CD SOURCE POWER OFF,NEC2,128,112,87
CD OFF,NEC2,128,112,87
CD POWER OFF,NEC1,128,112,87
ON (MAIN POWER),NEC1,128,112,156
ON,NEC1,128,112,156
POWER OFF,NEC1,128,112,159
OFF,NEC1,128,112,159
POWER,NEC1,128,112,159
OFF (MAIN POWER),NEC1,128,112,159
RECEIVER POWER OFF,NEC1,128,112,159
POWER ON,NEC1,128,112,192
RECEIVER POWER,NEC1,128,112,192
POWER,NEC1,128,112,192
AVR30 POWER,NEC1,128,112,192
STANDBY,NEC1,128,112,192
ON,NEC1,128,112,192
AVR / ON,NEC1,128,112,192
ON/AVR,NEC1,128,112,192
STANDBY,NEC,128,112,192
PHONO,NEC1,128,112,194
TAPE MON,NEC1,128,112,204
TAPE MON,NEC1,128,112,205
TAPE MON,NEC,128,112,205
POWER ON,NEC1,130,114,33
POWER OFF,NEC1,130,114,34
DVD POWER OFF,NEC1,130,114,34
TAPE1 SOURCE POW ON,NEC2,130,114,64
TAPE ON (SRCE PWR),NEC2,130,114,64
TAPE1 SOURCE POW OFF,NEC2,130,114,65
TAPE OFF (SRCH PWR),NEC2,130,114,65
ON SCREEN ^,Pioneer,130,114,128
ON SCREEN ^,NEC2,130,114,128
ON SCREEN V,Pioneer,130,114,129
ON SCREEN V,NEC2,130,114,129
ON SCREEN >,Pioneer,130,114,130
ON SCREEN >,NEC2,130,114,130
ON SCREEN <,Pioneer,130,114,131
ON SCREEN <,NEC2,130,114,131
ON SCREEN ENTER,Pioneer,130,114,132
ON SCREEN ENTER,NEC2,130,114,132
SURROUND OFF,NEC2,130,114,137
SURR_OFF,NEC2,130,114,137
OFF,NEC2,130,114,137
TEST TONE,NEC2,130,114,140
TONE,NEC1,130,114,197
STEREO ONLY (S/O),NEC1,132,66,8
MONO+,NEC1,132,66,18
OPTIONS (SET),NEC1,132,66,27
POWER,NEC1,132,66,81
POWER ON,NEC1,134,118,0
POWER OFF,NEC1,134,118,1
CASSETTE FF >>,Pioneer,161,-1,16
CASSETTE REW <<,Pioneer,161,-1,17
CASSETTE POWER,Pioneer,161,-1,18
CASSETTE STOP [],Pioneer,161,-1,22
CASSETTE PLAY >,Pioneer,161,-1,23
CASSETTE PAUSE ,Pioneer,161,-1,24
VCR FF >>,Emerson,40,-1,4
VCR PLAY >,Emerson,40,-1,10
VCR PAUSE,Emerson,40,-1,11
VCR REW <<,Emerson,40,-1,12
VCR STOP [],Emerson,40,-1,28
VCR POWER,Emerson,40,-1,32
