COMPONENT VIDEO 1,NEC1,135,69,21
COMPONENT,NEC1,135,69,21
STANDBY/ON,NEC1,135,69,23
STANDBY / ON,NEC1,135,69,23
POWER ON/OFF,NEC1,135,69,23
POWER,NEC1,135,69,23
ONE TOUCH,NEC1,135,69,26
COMPONENT VIDEO2,NEC1,135,69,27
POWER ON,NEC1,135,69,29
POWER OFF,NEC1,135,69,30
POSITION,NEC1,135,69,48
MUTE ON/OFF,NEC1,135,69,82
VOLUME ON,NEC1,135,69,83
CONTRAST +,NEC1,135,69,116
CONTRAST -,NEC1,135,69,117
MAGNIFY ON,NEC1,135,69,176
MAGNIFY OFF,NEC1,135,69,177
MAGNIFY OFF,NEC1,135,69,179
KEYSTONE,NEC1,135,69,182
STANDBY/ON,NEC1,80,-1,23
