POWER,Dish_Network,0,14,2
ON,Akai,1,-1,5
OFF,Akai,1,-1,10
POWER,Akai,1,-1,11
TV CH/SET +,Sony12,1,-1,16
TV CH/SET -,Sony12,1,-1,17
VOLUME +,Sony12,1,-1,18
VOLUME -,Sony12,1,-1,19
TV POWER,Sony12,1,-1,21
TV MENU (RA EDIT),Sony12,1,-1,21
TV MENU,Sony12,1,-1,21
TV TV/VIDEO,Sony12,1,-1,37
SURR REAR ON/OFF(-),JVC,163,-1,5
AUDIO POWER,JVC,163,-1,23
PHONO,JVC,163,-1,60
MONITOR TV/VIDEO,JVC,3,-1,19
A MONITOR TV/VIDEO,JVC{2},3,-1,19
TV MONITOR (TV/VIDEO,JVC{2},3,-1,19
MONITOR (TV/VIDEO),JVC{2},3,-1,19
TV/VIDEO MONITOR,JVC,3,-1,19
POWER,JVC,3,-1,23
TV POWER,JVC,3,-1,23
(TV) POWER,JVC,3,-1,23
POWER (TV),JVC,3,-1,23
A TV POWER,JVC{2},3,-1,23
POWER (TV),JVC{2},3,-1,23
TV AUDIO MONITOR,JVC{2},3,-1,28
TV POWER,NEC1,64,-1,18
SLOW MOTION +,JVC,67,-1,6
SLOW MOTION -,JVC,67,-1,7
POWER OFF,JVC,67,-1,11
POWER ON,JVC,67,-1,11
POWER,JVC,67,-1,11
VCR POWER,JVC,67,-1,11
(VCR) POWER,JVC,67,-1,11
VIDEO POWER,JVC,67,-1,11
POWER (VCR),JVC,67,-1,11
A POWER VIDEO,JVC{2},67,-1,11
VCRA POWER,JVC,67,-1,11
POWER,JVC{2},67,-1,11
VCR A POWER,JVC,67,-1,11
SLOW MOTION +,JVC,67,-1,20
SLOW MOTION -,JVC,67,-1,21
AUDIO MONITOR,JVC,67,-1,23
A.MONITOR,JVC,67,-1,23
AUDIO MONITOR,JVC{2},67,-1,23
VID A AUDIO MONITOR,JVC{2},67,-1,23
A. MONITOR,JVC,67,-1,23
POWER OFF (ALT.),JVC,67,-1,26
POWER ON (ALT.),JVC,67,-1,29
ON SCREEN,JVC,67,-1,30
POWER,JVC,67,-1,33
2 (MON),JVC,67,-1,34
MON,JVC,67,-1,34
DIGITAL OFF,JVC,67,-1,67
TV MONITOR,JVC,67,-1,75
A TV MONITOR,JVC{2},67,-1,75
SLOW MOTION -,JVC{2},67,-1,183
SLOW MOTION +,JVC{2},67,-1,184
NAVIGATION,JVC,67,-1,224
POWER,JVC,83,-1,11
B POWER VIDEO,JVC{2},83,-1,11
VCRB POWER,JVC,83,-1,11
VIDEO POWER,JVC{2},83,-1,11
VCR B POWER,JVC,83,-1,11
VIDEO B AUDIO MONITO,JVC{2},83,-1,23
AUDIO MONITOR,JVC{2},83,-1,23
POWER OFF,JVC,83,-1,26
POWER ON,JVC,83,-1,29
B TV MONITOR,JVC{2},83,-1,75
TV/MONITOR,JVC{2},83,-1,75
