SET UP (ON SCRN MGR),NEC1,24,233,6
POWER,NEC1,24,233,8
ON,NEC1,24,233,8
POWER ON,NEC1,24,233,8
CONTRAST ^,NEC1,24,233,13
CONTRAST V,NEC1,24,233,14
OFF,NEC1,24,233,20
POWER OFF,NEC1,24,233,20
POSITION MOUSE NE,NEC1,24,233,33
POSITION MOUSE NW,NEC1,24,233,34
POSITION MOUSE SE,NEC1,24,233,35
POSITION MOUSE WEST,NEC1,24,233,36
POSITION (OFF),NEC1,24,233,37
MENU (ON SCREEN MGR),NEC1,24,233,70
+ (ON SCREEN MGR),NEC1,24,233,92
- (ON SCREEN MGR),NEC1,24,233,93
POSITION ^,NEC1,24,233,94
POSITION V,NEC1,24,233,95
POSITION >,NEC1,24,233,132
POSITION <,NEC1,24,233,133
CTL POWER,NEC1,24,233,136
CTL CONTRAST ^,NEC1,24,233,141
CTL CONTRAST V,NEC1,24,233,142
POSITION MOUSE EAST,NEC1,24,233,220
POSITION MOUSE SW,NEC1,24,233,221
POSITION MOUSE NORTH,NEC1,24,233,222
POSITION MOUSE SOUTH,NEC1,24,233,223
POWER,NEC1,24,247,8
POWER ON,48-NEC1,24,247,8
POWER OFF,48-NEC1,24,247,20
CAPTION,48-NEC1,24,247,74
CTL POWER ON,48-NEC1,24,247,136
CTL POWER OFF,48-NEC1,24,247,148
CTL CAPTION,48-NEC1,24,247,202
