OFF,NEC2,11,79,1
ON,NEC2,11,79,2
ZONE,NEC2,11,79,63
POWER ON/OFF,NEC2,11,79,162
OFF,NEC2,123,72,1
ON,NEC2,123,72,2
ZONE,NEC2,123,72,63
POWER,NEC2,123,72,162
OFF,NEC2,139,71,1
ON,NEC2,139,71,2
ZONE,NEC2,139,71,63
POWER ON/OFF,NEC2,139,71,162
OFF,NEC2,187,-1,1
ON,NEC2,187,-1,2
ZONE,NEC2,187,-1,63
POWER,NEC2,187,-1,162
OFF,NEC2,203,67,1
ON,NEC2,203,67,2
ZONE,NEC2,203,67,63
POWER ON/OFF,NEC2,203,67,162
OFF,NEC2,219,66,1
ON,NEC2,219,66,2
ZONE,NEC2,219,66,63
POWER,NEC2,219,66,162
OFF,NEC2,242,208,1
ON,NEC2,242,208,2
ZONE,NEC2,242,208,63
POWER ON/OFF,NEC2,242,208,162
POWER,NEC2,242,208,162
OFF,NEC2,243,192,1
ON,NEC2,243,192,2
ZONE,NEC2,243,192,63
POWER,NEC2,243,192,162
OFF,NEC2,251,64,1
ON,NEC2,251,64,2
ZONE,NEC2,251,64,63
POWER,NEC2,251,64,162
OFF,NEC2,27,78,1
ON,NEC2,27,78,2
ALL OFF,NEC2,27,78,40
ZONE,NEC2,27,78,63
POWER ON/OFF,NEC2,27,78,162
ALL ON,NEC2,27,78,168
OFF,NEC2,43,77,1
ON,NEC2,43,77,2
ZONE,NEC2,43,77,63
POWER ON/OFF,NEC2,43,77,162
OFF,NEC2,59,76,1
ON,NEC2,59,76,2
ZONE,NEC2,59,76,63
POWER,NEC2,59,76,162
OFF,NEC2,75,75,1
ON,NEC2,75,75,2
ZONE,NEC2,75,75,63
POWER ON/OFF,NEC2,75,75,162
OFF,NEC2,91,74,1
ON,NEC2,91,74,2
ZONE,NEC2,91,74,63
POWER,NEC2,91,74,162
