POWER OFF,NEC2,0,-1,1
POWER ON,NEC2,0,-1,2
STATION -,NEC2,0,-1,23
POWER OFF,NEC2,103,137,1
POWER ON,NEC2,103,137,2
STATION -,NEC2,103,137,23
STATION +,NEC2,103,137,24
POWER OFF,NEC2,108,57,1
POWER ON,NEC2,108,57,2
ZONE,NEC2,108,57,63
POWER OFF,NEC2,111,9,1
POWER ON,NEC2,111,9,2
POWER OFF,NEC2,119,-1,1
POWER ON,NEC2,119,-1,2
STATION -,NEC2,119,-1,23
STATION +,NEC2,119,-1,24
OFF,NEC2,123,72,1
ON,NEC2,123,72,2
ZONE,NEC2,123,72,63
POWER,NEC2,123,72,162
POWER OFF,NEC2,127,8,1
POWER ON,NEC2,127,8,2
ZONE,NEC2,127,8,63
POWER OFF,NEC2,128,247,1
POWER ON,NEC2,128,247,2
ZONE,NEC2,128,247,63
POWER OFF,NEC2,135,135,1
POWER ON,NEC2,135,135,2
STATION -,NEC2,135,135,23
STATION +,NEC2,135,135,24
POWER OFF,NEC2,143,7,1
POWER ON,NEC2,143,7,2
STATION -,NEC2,143,7,23
STATION +,NEC2,143,7,24
POWER OFF,NEC2,15,15,1
POWER ON,NEC2,15,15,2
STATION -,NEC2,15,15,23
STATION +,NEC2,15,15,24
POWER OFF,NEC2,159,6,1
POWER ON,NEC2,159,6,2
ZONE,NEC2,159,6,63
POWER,NEC2,159,6,162
POWER OFF,NEC2,167,133,1
POWER ON,NEC2,167,133,2
STATION -,NEC2,167,133,23
STATION +,NEC2,167,133,24
POWER OFF,NEC2,172,53,1
POWER ON,NEC2,172,53,2
ZONE,NEC2,172,53,63
POWER OFF,NEC2,183,132,1
POWER ON,NEC2,183,132,2
STATION -,NEC2,183,132,23
STATION +,NEC2,183,132,24
OFF,NEC2,187,-1,1
ON,NEC2,187,-1,2
ZONE,NEC2,187,-1,63
POWER,NEC2,187,-1,162
POWER OFF,NEC2,192,243,1
POWER ON,NEC2,192,243,2
ZONE,NEC2,192,243,63
021 OFF,NEC2,199,131,1
021 ON,NEC2,199,131,2
POWER OFF,NEC2,204,-1,1
POWER ON,NEC2,204,-1,2
ZONE,NEC2,204,-1,63
OFF,NEC2,219,66,1
POWER OFF,NEC2,219,66,1
ON,NEC2,219,66,2
POWER ON,NEC2,219,66,2
STATION -,NEC2,219,66,23
STATION +,NEC2,219,66,24
ZONE,NEC2,219,66,63
POWER,NEC2,219,66,162
POWER OFF,NEC2,223,2,1
POWER ON,NEC2,223,2,2
POWER OFF,NEC2,23,142,1
POWER ON,NEC2,23,142,2
STATION -,NEC2,23,142,23
STATION +,NEC2,23,142,24
POWER OFF,NEC2,239,1,1
POWER ON,NEC2,239,1,2
ZONE,NEC2,239,1,63
OFF,NEC2,242,208,1
ON,NEC2,242,208,2
ZONE,NEC2,242,208,63
POWER,NEC2,242,208,162
OFF,NEC2,243,192,1
016 OFF,NEC2,243,192,1
POWER OFF,NEC2,243,192,1
ON,NEC2,243,192,2
016 ON,NEC2,243,192,2
POWER ON,NEC2,243,192,2
STATION -,NEC2,243,192,23
STATION +,NEC2,243,192,24
ZONE,NEC2,243,192,63
POWER,NEC2,243,192,162
POWER OFF,NEC2,247,128,1
POWER ON,NEC2,247,128,2
STATION -,NEC2,247,128,23
STATION +,NEC2,247,128,24
OFF,NEC2,251,64,1
ON,NEC2,251,64,2
ZONE,NEC2,251,64,63
POWER,NEC2,251,64,162
POWER OFF,NEC2,255,-1,1
POWER ON,NEC2,255,-1,2
ZONE,NEC2,255,-1,63
POWER OFF,NEC2,31,14,1
POWER ON,NEC2,31,14,2
STATION -,NEC2,31,14,23
STATION +,NEC2,31,14,24
POWER OFF,NEC2,39,141,1
POWER ON,NEC2,39,141,2
STATION -,NEC2,39,141,23
STATION +,NEC2,39,141,24
POWER OFF,NEC2,44,61,1
POWER ON,NEC2,44,61,2
ZONE,NEC2,44,61,63
POWER OFF,NEC2,55,140,1
POWER ON,NEC2,55,140,2
OFF,NEC2,59,76,1
ON,NEC2,59,76,2
ZONE,NEC2,59,76,63
POWER,NEC2,59,76,162
POWER OFF,NEC2,63,12,1
POWER ON,NEC2,63,12,2
POWER OFF,NEC2,64,251,1
POWER ON,NEC2,64,251,2
ZONE,NEC2,64,251,63
POWER OFF,NEC2,7,143,1
POWER ON,NEC2,7,143,2
STATION -,NEC2,7,143,23
SATION +,NEC2,7,143,24
POWER OFF,NEC2,71,139,1
POWER ON,NEC2,71,139,2
POWER OFF,NEC2,76,59,1
POWER ON,NEC2,76,59,2
ZONE,NEC2,76,59,63
POWER OFF,NEC2,79,11,1
POWER ON,NEC2,79,11,2
OFF,NEC2,91,74,1
ON,NEC2,91,74,2
ZONE,NEC2,91,74,63
POWER,NEC2,91,74,162
POWER OFF,NEC2,95,10,1
POWER ON,NEC2,95,10,2
ZONE,NEC2,95,10,63
