BK024 POWER OFF,NEC2,103,137,1
BK024 POWER ON,NEC2,103,137,2
BK024 STATION-,NEC2,103,137,23
BK024 STATION+,NEC2,103,137,24
BK031 STATION-,NEC2,119,-1,23
BK031 STATION+,NEC2,119,-1,24
BK015 POWER OFF,NEC2,123,72,1
BK015 POWER ON,NEC2,123,72,2
BK015 STATION-,NEC2,123,72,23
BK015 STATION+,NEC2,123,72,24
BK019 POWER OFF,NEC2,135,135,1
BK019 POWER ON,NEC2,135,135,2
BK019 STATION-,NEC2,135,135,23
BK019 STATION+,NEC2,135,135,24
BK035 POWER OFF,NEC2,143,7,1
BK035 POWER ON,NEC2,143,7,2
BK035 STATION-,NEC2,143,7,23
BK035 STATION+,NEC2,143,7,24
BK034 POWER OFF,NEC2,15,15,1
BK034 POWER ON,NEC2,15,15,2
BK034 STATION-,NEC2,15,15,23
BK034 STATION+,NEC2,15,15,24
BK026 POWER OFF,NEC2,151,134,1
BK026 POWER ON,NEC2,151,134,2
BK026 STATION-,NEC2,151,134,23
BK026 STATION+,NEC2,151,134,24
BK023 POWER OFF,NEC2,167,133,1
BK023 POWER ON,NEC2,167,133,2
BK023 STATION-,NEC2,167,133,23
BK023 STATION+,NEC2,167,133,24
BK030 POWER OFF,NEC2,183,132,1
BK030 POWER ON,NEC2,183,132,2
BK030 STATION-,NEC2,183,132,23
BK030 STATION+,NEC2,183,132,24
BK014 POWER OFF,NEC2,187,-1,1
BK014 POWER ON,NEC2,187,-1,2
BK014 STATION-,NEC2,187,-1,23
BK014 STATION+,NEC2,187,-1,24
BK021 POWER OFF,NEC2,199,131,1
BK021 POWER ON,NEC2,199,131,2
BK021 STATION-,NEC2,199,131,23
BK021 STATION+,NEC2,199,131,24
BK028 POWER OFF,NEC2,215,130,1
BK028 POWER ON,NEC2,215,130,2
BK028 STATION-,NEC2,215,130,23
BK028 STATION+,NEC2,215,130,24
BK012 POWER OFF,NEC2,219,66,1
BK012 POWER ON,NEC2,219,66,2
BK012 STATION-,NEC2,219,66,23
BK012 STATION+,NEC2,219,66,24
BK017 POWER OFF,NEC2,23,142,1
BK017 POWER ON,NEC2,23,142,2
BK017 STATION-,NEC2,23,142,23
BK017 STATION+,NEC2,23,142,24
BK025 POWER OFF,NEC2,231,129,1
BK025 POWER ON,NEC2,231,129,2
BK025 STATION-,NEC2,231,129,23
BK025 STATION+,NEC2,231,129,24
BK128 POWER OFF,NEC2,242,208,1
BK128 POWER ON,NEC2,242,208,2
BK128 STATION-,NEC2,242,208,23
BK128 STATION+,NEC2,242,208,24
BK016 POWER OFF,NEC2,243,192,1
BK016 POWER ON,NEC2,243,192,2
BK016 STATION-,NEC2,243,192,23
BK016 STATION+,NEC2,243,192,24
BK032 POWER OFF,NEC2,247,128,1
BK032 POWER ON,NEC2,247,128,2
BK032 STATION-,NEC2,247,128,23
BK032 STATION+,NEC2,247,128,24
BK000 POWER OFF,NEC2,251,64,1
BK000 POWER ON,NEC2,251,64,2
BK000 STATION-,NEC2,251,64,23
BK000 STATION+,NEC2,251,64,24
BK033 POWER OFF,NEC2,31,14,1
BK033 POWER ON,NEC2,31,14,2
BK033 STATION-,NEC2,31,14,23
BK033 STATION+,NEC2,31,14,24
BK022 POWER OFF,NEC2,39,141,1
BK022 POWER ON,NEC2,39,141,2
BK022 STATION-,NEC2,39,141,23
BK022 STATION+,NEC2,39,141,24
BK029 POWER OFF,NEC2,55,140,1
BK029 POWER ON,NEC2,55,140,2
BK029 STATION-,NEC2,55,140,23
BK029 STATION+,NEC2,55,140,24
BK013 POWER OFF,NEC2,59,76,1
BK013 POWER ON,NEC2,59,76,2
BK013 STATION-,NEC2,59,76,23
BK013 STATION+,NEC2,59,76,24
BK018 POWER OFF,NEC2,7,143,1
BK018 POWER ON,NEC2,7,143,2
BK018 STATION-,NEC2,7,143,23
BK018 STATION+,NEC2,7,143,24
BK020 POWER OFF,NEC2,71,139,1
BK020 POWER ON,NEC2,71,139,2
BK020 STATION-,NEC2,71,139,23
BK020 STATION+,NEC2,71,139,24
BK036 POWER OFF,NEC2,79,11,1
BK036 POWER ON,NEC2,79,11,2
BK036 STATION-,NEC2,79,11,23
BK036 STATION+,NEC2,79,11,24
BK027 POWER OFF,NEC2,87,138,1
BK027 POWER ON,NEC2,87,138,2
BK027 STATION-,NEC2,87,138,23
BK027 STATION+,NEC2,87,138,24
BK011 POWER OFF,NEC2,91,74,1
BK011 POWER ON,NEC2,91,74,2
BK011 STATION-,NEC2,91,74,23
BK011 STATION+,NEC2,91,74,24
