GUIDE,Sony12,1,-1,14
VOL UP,Sony12,1,-1,18
VOL DN,Sony12,1,-1,19
ANT,Sony12,1,-1,42
PWR ON,Sony12,1,-1,46
PWR OFF,Sony12,1,-1,47
DISPLAY,Sony12,1,-1,58
IN1,Sony12,1,-1,64
IN2,Sony12,1,-1,65
IN3,Sony12,1,-1,66
IN4,Sony12,1,-1,71
IN5,Sony12,1,-1,72
PIP ON OFF,Sony12,1,-1,91
PIC MODE,Sony12,1,-1,94
EXIT,Sony12,1,-1,99
JUMP,Sony15,164,-1,59
WIDE MODE,Sony15,164,-1,61
WIDE ZOOM,Sony15,164,-1,66
1,Sony20,26,26,0
2,Sony20,26,26,1
3,Sony20,26,26,2
4,Sony20,26,26,3
5,Sony20,26,26,4
6,Sony20,26,26,5
7,Sony20,26,26,6
8,Sony20,26,26,7
9,Sony20,26,26,8
0,Sony20,26,26,15
CHANNEL +,Sony20,26,26,16
CHANNEL -,Sony20,26,26,17
CURSOR RIGHT,Sony15,84,-1,51
CURSOR LEFT,Sony15,84,-1,52
CURSOR UP,Sony15,84,-1,53
CURSOR DOWN,Sony15,84,-1,54
