POWER,MCE,1,22,15
OPTIONS,MCE,1,22,19
POWER ON,MCE,1,22,65
POWER OFF,MCE,1,22,66
VIEW BY SONG,MCE,1,22,75
POWER,XMP-2,15,0,15
OPTIONS,XMP-2,15,0,19
OPTIONS,XMP-2,15,0,20
POWER OFF,XMP,15,0,174
POWER ON,XMP,15,0,174
POWER,MCE,2,22,15
OPTIONS,MCE,2,22,19
POWER ON,MCE,2,22,65
POWER OFF,MCE,2,22,66
VIEW BY SONG,MCE,2,22,75
OPTIONS,MCE,3,22,19
POWER ON,MCE,3,22,65
POWER OFF,MCE,3,22,66
VIEW BY SONG,MCE,3,22,75
CAPS LOCK ON,Nokia,33,184,49
CAPS LOCK OFF,Nokia,33,184,65
POWER,MCE,4,22,15
OPTION/INPUT,MCE,4,22,19
OPTIONS,MCE,4,22,19
POWER ON,MCE,4,22,65
POWER OFF,MCE,4,22,66
VIEW BY SONG,MCE,4,22,75
