,Sony12,1,-1,52
POWER OFF,NEC,123,2,24
POWER ON,NEC2,123,2,25
POWER,NEC1,131,85,132
STANDBY,NEC1,135,78,13
POWER,NEC1,135,78,23
POWER TOGGLE,NEC,135,78,23
HORIZ OFFSET LEFT,NEC1,135,78,27
HORIZ OFFSET RIGHT,NEC1,135,78,28
VERT OFFSET UP,NEC1,135,78,29
VERT OFFSET DOWN,NEC1,135,78,30
KEYSTONE +,NEC1,135,78,32
KEYSTONE -,NEC1,135,78,33
CONTRAST +,NEC1,135,78,54
CONTRAST+,NEC1,135,78,54
CONTRAST -,NEC1,135,78,55
POWER OFF,NEC1,135,78,57
POWER OFF,NEC,135,78,57
POWER ON,NEC1,135,78,58
POWER ON,NEC,135,78,58
CONT ^,NEC1,135,78,129
CONT V,NEC1,135,78,133
POWER,RCA,15,-1,42
CH CONTROL,RCA,15,-1,229
STANDBY (ON/OFF),Aiwa,2,1,16
POWER,NEC1,78,135,23
KEYSTONE +,NEC1,78,135,32
KEYSTONE -,NEC1,78,135,33
CONTRAST +,NEC1,78,135,54
CONTRAST -,NEC1,78,135,55
POWER OFF,NEC1,78,135,57
POWER ON,NEC1,78,135,58
POWER,NEC1,80,79,2
KEYSTONE +,NEC1,80,79,19
KEYSTONE -,NEC1,80,79,20
