POWER ON,JVC,115,-1,5
ON,JVC,115,-1,5
POWER OFF,JVC,115,-1,6
POWER OFF - SEND 2X,JVC,115,-1,6
STANDBY,JVC,115,-1,6
CONT,JVC,115,-1,10
POWER,JVC,115,-1,23
SCAN POWER,JVC{2},115,-1,23
V-KEYSTONE UP,JVC,115,-1,27
V-KEYSTONE DOWN,JVC,115,-1,28
V STRETCH ON,JVC,115,-1,35
V STRETCH OFF,JVC,115,-1,36
H-KEYSTONE UP,JVC,115,-1,64
H-KEYSTONE DOWN,JVC,115,-1,65
COMPONENT,JVC,115,-1,77
INPUT COMPONENT,JVC,115,-1,77
CONTRAST +,JVC,115,-1,120
CONTRAST UP,JVC,115,-1,120
CONTRAST -,JVC,115,-1,121
CONTRAST DOWN,JVC,115,-1,121
