TV 1,Sony12,1,-1,0
TV 2,Sony12,1,-1,1
TV 3,Sony12,1,-1,2
TV 4,Sony12,1,-1,3
TV 5,Sony12,1,-1,4
TV 6,Sony12,1,-1,5
VCR1 POWER,Akai,1,-1,5
TV 7,Sony12,1,-1,6
TV 8,Sony12,1,-1,7
TV 9,Sony12,1,-1,8
TV 0,Sony12,1,-1,9
TV +10,Sony12,1,-1,10
TV ENTER,Sony12,1,-1,11
TV CH ^ (ANY ^),Sony12,1,-1,16
TV CH V (ANY V),Sony12,1,-1,17
TV VOL ^ (P.CALL >),Sony12,1,-1,18
TV VOL V (P.CALL <),Sony12,1,-1,19
VCR1 FUNCTION,Akai,1,-1,19
TV MUTE (BAND),Sony12,1,-1,20
TV POWER,Sony12,1,-1,21
TV VCR/TV (LVL AUD),Sony12,1,-1,37
LD POWER,Sharp,12,-1,22
LD FUNCTION,NEC1,182,75,16
LD POWER,NEC1,182,75,157
CD FUNCTION,NEC1,184,-1,8
MENU ON SCREEN,NEC1,184,-1,29
SURROUND TONE,NEC1,184,-1,86
TEST TONE,NEC1,184,-1,86
TEST TONE ON/OFF,NEC1,184,-1,86
SURROUND TEST ZONE,NEC1,184,-1,86
AUDIO FUNCTION,NEC1,184,-1,86
ON/OFF TEST TONE,NEC1,184,-1,86
TEST TONE MODE,NEC1,184,-1,87
MODE TEST TONE,NEC1,184,-1,87
PHONO,NEC1,184,-1,144
TAPE2/MONITOR,NEC1,184,-1,149
TAPE2 (MONITOR),NEC1,184,-1,149
TAPE 2 (MONITOR),NEC1,184,-1,149
VOLUME CONTROL V,NEC1,184,-1,154
VOL CONTROL V,NEC1,184,-1,154
VOLUME CONTROL ^,NEC1,184,-1,155
VOL CONTROL ^,NEC1,184,-1,155
POWER,NEC1,184,-1,157
RCVR POWER,NEC1,184,-1,157
CD/AUDIO POWER,NEC1,184,-1,157
AUDIO POWER,NEC1,184,-1,157
CDOE2 POWER OFF,NEC1,184,-1,157
CODE 5 POWER ON,NEC1,184,-1,157
CODE2 POWER ON,NEC1,184,-1,157
CODE5 POWER OFF,NEC1,184,-1,157
PHONO STOP [],NEC1,184,-1,192
PHONO R.PLAY <,NEC1,184,-1,193
PHONO PLAY <,NEC1,184,-1,193
PHONO,NEC1,184,0,144
PHONO INPUT,NEC,184,0,144
SYS. POWER,NEC1,184,0,157
CODE4 POWER OFF,NEC1,184,0,157
CODE1 POWER OFF,NEC1,184,0,157
CODE1 POWER ON,NEC1,184,0,157
