POWER,NEC1,1,1,28
POWER TOGGLE,NEC1,4,-1,8
POWER,NEC1,4,-1,8
CLOSED CAPTIONS,NEC1,4,-1,57
CAPTION,NEC1,4,-1,57
POSITION,NEC1,4,-1,98
WINDOW POSITION,NEC1,4,-1,98
WINDOW POSITION,NEC1,4,-1,106
AUTO CONFIGURE,NEC1,4,-1,153
INFORMATION,NEC1,4,-1,170
COMPONENT 1,NEC1,4,-1,191
INPUT - COMPONENT 1,NEC1,4,-1,191
INPUT: COMPONENT 1,NEC,4,-1,191
POWER ON,NEC1,4,-1,196
POWER ON,NEC,4,-1,196
POWER OFF,NEC1,4,-1,197
POWER OFF,NEC,4,-1,197
COMPONENT 2,NEC1,4,-1,212
INPUT - COMPONENT 2,NEC1,4,-1,212
INPUT: COMPONENT 2,NEC,4,-1,212
COMPONENT 3,NECx1,4,-1,217
