MENU OFF,RC5,0,-1,83
POWER ON/OFF,RC5,16,-1,12
POWER,RC5,16,-1,12
M-POWER,RC5,16,-1,12
SOURCE ON/OFF,RC5,16,-1,12
POWER (TOGGLE),RC5,16,-1,12
MUTE ON/OFF,RC5,16,-1,13
DC TRIGGER-1 ON,RC5,16,-1,27
SPEAKER A ON/OFF,RC5,16,-1,35
SPEAKER-A ON/OFF,RC5,16,-1,35
SPEAKER B ON/OFF,RC5,16,-1,39
SPEAKER-B ON/OFF,RC5,16,-1,39
OSD MENU ON/OK,RC5,16,-1,82
AMP - MENU OFF,RC5,16,-1,83
SOURCE ON/OFF,RC5,17,-1,12
POWER,RC5,17,-1,12
STEREO/MONO,RC5,17,-1,37
P.SCAN/V-OFF,RC5,17,-1,43
PHONO,RC5,21,-1,63
POWER,RC6,4,-1,12
SET UP/T. TONE,RC6,4,-1,130
PHONO,RC5,6,-1,63
POWER,RCA-38(Old),7,-1,58
