POWER,Akai,3,-1,19
TV POWER,Mitsubishi,71,-1,2
POWER,Mitsubishi,71,-1,2
TV OFF-T OTR,Mitsubishi,71,-1,23
TV OFF-T/OTR,Mitsubishi,71,-1,23
TV DATA ON SCREEN,Mitsubishi,71,-1,27
POWER,Mitsubishi,87,-1,2
VCR POWER,Mitsubishi,87,-1,2
VCRA POWER,Mitsubishi,87,-1,2
AUDIO MONITOR,Mitsubishi,87,-1,3
2 MON,Mitsubishi,87,-1,8
SLOW MOTION +,Mitsubishi,87,-1,14
SLOW MOTION -,Mitsubishi,87,-1,22
PROG LIST ON/OFF,Mitsubishi,87,-1,27
PROG.LIST ON/OFF,Mitsubishi,87,-1,27
DATA ON SCREEN,Mitsubishi,87,-1,27
PROG REC ON/OFF,Mitsubishi,87,-1,31
PROG.REC ON/OFF,Mitsubishi,87,-1,31
DATA ON SCREEN,Mitsubishi,87,-1,39
VCRA DATA ON SCREEN,Mitsubishi,87,-1,39
OFF-T OTR,Mitsubishi,87,-1,47
OFF-T/OTR,Mitsubishi,87,-1,47
VCRA OFF-T OTR,Mitsubishi,87,-1,47
VCRA OFF-T/OTR,Mitsubishi,87,-1,47
POWER ON,Mitsubishi,87,-1,63
FUNCTION VIDEO,Mitsubishi,87,-1,64
POWER ON (ALT.),Mitsubishi,87,-1,66
POWER OFF,Mitsubishi,87,-1,74
SLOW MOTION -,Mitsubishi,87,-1,75
SLOW MOTION +,Mitsubishi,87,-1,76
FUNCTION AUDIO,Mitsubishi,87,-1,80
VCRB POWER,Mitsubishi,87,-1,130
POWER,Mitsubishi,87,-1,130
VCRB DATA ON SCREEN,Mitsubishi,87,-1,167
VCRB OFF-T/OTR,Mitsubishi,87,-1,175
VCRB OFF-T OTR,Mitsubishi,87,-1,175
POWER ON,Mitsubishi,87,-1,194
POWER OFF,Mitsubishi,87,-1,202
