ON DEMAND,G.I.Cable,0,-1,0
ON DEMAND,G.I.Cable,0,-1,1
ON DEMAND,G.I.Cable,0,-1,9
POWER,G.I.Cable,0,-1,10
ALL ON,G.I.Cable,0,-1,10
CODE1 POWER OFF,G.I.Cable,0,-1,10
CODE1 POWER ON,G.I.Cable,0,-1,10
CODE3 POWER OFF,G.I.Cable,0,-1,10
CODE3 POWER ON,G.I.Cable,0,-1,10
CODE4 POWER OFF,G.I.Cable,0,-1,10
CODE4 POWER ON,G.I.Cable,0,-1,10
POWER,G.I.Cable,0,-1,10
ON DEMAND,G.I.Cable,0,-1,24
ON DEMAND,G.I.Cable,0,-1,26
ONDEMAND,G.I.Cable,0,-1,26
PIP ON/OFF,G.I.Cable,0,-1,34
30 SECOND SKIP,G.I.Cable,0,-1,63
OPTIONS,G.I.Cable,0,-1,66
VOLUME +,Sony12,1,-1,18
VOLUME -,Sony12,1,-1,19
MUTE,Sony12,1,-1,20
TV,Sony12,1,-1,21
INPUT,Sony12,1,-1,37
POWER,NEC2,170,-1,28
ON DEMAND,XMP-1,18,0,82
POWER,NEC1,4,-1,8
AUDIO,Panasonic_Old,9,-1,32
