1,Sony15,100,-1,0
2,Sony15,100,-1,1
3,Sony15,100,-1,2
4,Sony15,100,-1,3
5,Sony15,100,-1,4
6,Sony15,100,-1,5
7,Sony15,100,-1,6
8,Sony15,100,-1,7
9,Sony15,100,-1,8
0/10,Sony15,100,-1,12
>10,Sony15,100,-1,13
DISPLAY,Sony15,100,-1,28
TRACK -,Sony15,100,-1,48
TRACK +,Sony15,100,-1,49
PLAY,Sony15,100,-1,50
LOOP,Sony15,100,-1,52
STOP,Sony15,100,-1,56
PAUSE,Sony15,100,-1,57
BAND,Sony15,100,-1,111
TUNE +,Sony15,100,-1,115
TUNE -,Sony15,100,-1,116
MODE,Sony15,68,-1,17
VOLUME +,Sony15,68,-1,18
VOLUME -,Sony15,68,-1,19
POWER,Sony15,68,-1,21
SOUND,Sony15,68,-1,48
MEGA BASS,Sony15,68,-1,63
FUNCTION,Sony15,68,-1,71
SLEEP,Sony15,68,-1,96
STANDBY,Sony15,68,-1,97
