POWER OFF,NEC1,209,-1,96
POWER ON,NEC1,209,-1,97
POWER TOGGLE,NEC1,209,-1,98
HIDE OFF,NEC1,209,-1,100
HIDE ON,NEC1,209,-1,101
PATTERN OFF,NEC1,209,-1,103
PATTERN ON,NEC1,209,-1,104
MENU OFF,NEC1,209,-1,113
MENU ON,NEC1,209,-1,114
STILL OFF,NEC1,209,-1,126
STILL ON,NEC1,209,-1,127
INPUT A COMPONENT,NEC1,209,-1,147
INPUT B COMPONENT,NEC1,209,-1,150
HDMI COMPONENT,NEC1,209,-1,153
POWER OFF,NEC1,209,-1,192
POWER ON,NEC1,209,-1,193
POWER,NEC1,209,-1,194
POWER TOGGLE,NEC1,209,-1,194
HIDE OFF,NEC1,209,-1,196
HIDE ON,NEC1,209,-1,197
PATTERN OFF,NEC1,209,-1,199
PATTERN ON,NEC1,209,-1,200
MENU OFF,NEC1,209,-1,209
MENU ON,NEC1,209,-1,210
STILL OFF,NEC1,209,-1,222
STILL ON,NEC1,209,-1,223
STILL ON,NEC1,209,-1,224
INPUT A COMPONENT,NEC1,209,-1,243
INPUT B COMPONENT,NEC1,209,-1,246
HDMI COMPONENT,NEC1,209,-1,249
POWER ON,Proton,240,-1,65
POWER STANDBY,Proton,240,-1,66
KEYSTONE,Proton,240,-1,67
SETTING IRIS,Proton,240,-1,84
INPUT D-SUB,Proton,240,-1,96
INPUT COMP,Proton,240,-1,100
INPUT VIDEO,Proton,240,-1,101
INPUT S-VIDEO,Proton,240,-1,102
INPUT HDMI,Proton,240,-1,112
CURSOR RIGHT,Proton,240,-1,129
CURSOR UP,Proton,240,-1,130
CURSOR DOWN,Proton,240,-1,131
MENU,Proton,240,-1,134
CURSOR ENTER,Proton,240,-1,135
ASPECT NORMAL,Proton,240,-1,145
ASPECT SQUEEZE,Proton,240,-1,146
ASPECT SMART ZOOM,Proton,240,-1,149
HIDE,Proton,240,-1,166
SETTING CONTRAST,Proton,240,-1,208
SETTING BRIGHTNESS,Proton,240,-1,209
SETTING COLOR TEMP,Proton,240,-1,212
ASPECT TOGGLE,Proton,240,-1,226
MEMORY 1,Proton,240,-1,228
